REQUEST_TIME,DEVICE_IP,ID,USER_ID,ID_TYPE,OPERATING_SYSTEM
14:11.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
15:47.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
19:07.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
24:05.4,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
33:05.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
51:57.7,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
23:04.0,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
31:38.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
32:17.4,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
51:11.8,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
55:16.8,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
02:59.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
02:59.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
15:26.7,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
21:01.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
56:45.8,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
00:20.7,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
12:59.5,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
30:30.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
52:14.1,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
26:57.0,2001:6034:d5e7:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
20:34.7,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
16:17.0,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
13:24.8,186.42.17.13,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android
